Year,Age 16 to 20 (%),Age 21 to 30 (%),Age 31 to 40 (%),Age 41 to 50 (%),Age above 50 (%),Migrant Worker - Male (%),Migrant Worker - Female (%),Local Migrant Worker - Male(%),Local Migrant Worker - Female (%),Emigrated Worker - Male (%),Emigrated Worker - Female (%),Migrant Worker - Unmarried (%),Migrant Worker - Married (%),Migrant Worker - Divorced or Widowed (%),Local Migrant Worker - Married,Emigrated Worker - Married,Migrant Worker Education - Middle school or below (%),Migrant Worker Education - High School (%),Migrant Worker Education - College or above (%)
2025,1.2,15.8,27.2,23.8,32,61.8,38.2,54.9,45.1,67.9,32.1,17.5,78.2,4.3,89.3,68.2,65.4,17.5,17.1
2024,1.1,15.8,26.8,24.7,31.6,62.4,37.6,55.8,44.2,68.3,31.7,17.1,78.9,4,90.3,68.8,66.7,17.3,16
2023,1.2,15.4,28,24.8,30.6,62.7,37.3,57,43,69.5,30.5,14.6,81.4,4,90,71,66.7,17.5,15.8
2022,1.3,18.5,27.2,23.8,29.2,63.4,36.6,58.3,41.7,68.9,31.1,17.4,79.6,3,91.2,67,69.3,17,13.7
2021,1.6,19.6,27,24.5,27.3,64.1,35.9,59,41,69.8,30.2,16.8,80.2,3,91.6,67.7,70.5,17,12.6
2020,1.6,21.1,26.7,24.2,26.4,65.2,34.8,60.8,39.2,69.9,30.1,17,79.9,3.1,91.1,68.1,61.1,16.7,12.2
2019,2.0,23.1,25.5,24.8,24.6,64.9,35.1,60.6,39.4,69.3,30.7,16.7,80.2,3.1,91.3,68.8,72.3,16.6,11.1
2018,2.4,25.2,24.5,25.5,22.4,65.2,34.8,61.4,38.6,69.2,30.8,17.2,79.7,3.1,90.8,68.1,72.5,16.6,10.9
2017,2.6,27.3,22.5,26.3,21.3,65.6,34.4,62.6,37.4,68.7,31.3,19.8,77.8,,90.2,64.5,72.6,17.1,10.3
2016,3.3,28.6,22,27,19.1,65.6,34.5,62.8,37.2,68.3,31.7,19.8,77.9,,90.2,64.8,73.6,17,9.4
2015,3.7,29.2,22.3,26.9,17.9,66.4,33.6,64.1,35.9,68.8,31.2,,,,,,74.8,16.9,8.3
2014,3.5,30.2,22.8,26.4,17.1,67,33,65.1,34.9,69,31,,,,,,76.2,16.5,7.3
2013,4.7,30.8,22.9,26.4,15.2,,,,,,,,,,,,77.2,16.1,6.7
2012,4.9,31.9,22.5,25.6,15.1,66.4,33.6,,,,,,,,,,76.3,18,5.7
2011,6.3,32.7,22.7,24,14.3,65.9,34.1,,,,,,73.4,,90.2,58.2,77,17.7,5.3
2010,6.5,35.9,23.5,21.2,12.9,65.1,34.9,64.2,35.8,65.9,34.1,,,,87.7,57.5,74.8,,
2009,8.5,35.8,23.6,19.9,12.2,,,,,65.1,34.9,,,,,56,76.5,,
2008,10.7,35.3,24.0,18.6,11.4,,,,,,,,,,,,,,
