Year,Primary Sector Employment (%),Secondary Sector Employment (%),Secondary Sector Employment (%) - Manufacturing,Secondary Sector Employment (%) - Construction,Tertiary Sector Employment (%),Tertiary Sector Employment (%) - Retail,Tertiary Sector Employment (%) - Transport/Storage/Postal,Tertiary Sector Employment (%) - Accommodation/Restaurant,Tertiary Sector Employment (%) - Services,Average Monthly Salary (yuan),Average Monthly Salary (yuan) - Local,Average Monthly Salary (yuan) - Emigrated,Average Monthly Salary (yuan) - in Eastern (including Liaoning till 2016),Average Monthly Salary (yuan) - in Central (including Heilongjiang and Jilin till 2016),Average Monthly Salary (yuan) - in Western,Average Monthly Salary (yuan) - in Northeastern,Average Monthly Salary (yuan) - Manufacturing,Average Monthly Salary (yuan) - Construction,Average Monthly Salary (yuan) - Retail,Average Monthly Salary (yuan) - Transport/Storage/Postal,Average Monthly Salary (yuan) - Accommodation/Restaurant,Average Monthly Salary (yuan) - Services
2025,0.8,44.5,28.2,13.8,54.7,13.7,7.2,7.2,12.5,5075,4376,5774,5501,4838,4653,4335,5126,5880,4382,5795,4208,4130
2024,0.7,44.7,27.9,14.3,54.6,13.6,7.2,7.1,12.3,4961,4291,5634,5368,4745,4541,4164,4978,5743,4362,5635,4141,4023
2023,0.7,45.5,27.5,15.4,53.8,13.2,7.1,6.7,12.7,4780,4131,5441,5172,4567,4376,4049,4780,5488,4181,5469,3998,3965
2022,0.5,47.8,27.4,17.7,51.7,12.5,6.8,6.1,11.9,4615,4026,5240,5001,4386,4238,3848,4694,5358,3979,5301,3824,3874
2021,0.5,48.6,27.1,19,50.9,12.1,6.9,6.4,11.8,4432,3878,5013,4787,4205,4078,3813,4508,5141,3796,5151,3638,3710
2020,0.4,48.1,27.3,18.3,51.5,12.2,6.9,6.5,12.4,4072,3606,4549,4351,3866,3808,3574,4096,4699,3532,4814,3358,3387
2019,0.4,48.6,27.4,18.7,51,12,6.9,6.9,12.3,3962,3500,4427,4222,3794,3723,3469,3958,4567,3472,4667,3289,3337
2018,0.4,49.1,27.9,18.6,50.5,12.1,6.6,6.7,12.2,3721,3340,4107,3955,3568,3522,3298,3732,4209,3263,4345,3148,3202
2017,0.5,51.5,29.9,18.9,48,12.3,6.6,6.2,11.3,3485,3173,3805,3677,3331,3350,3254,3444,3918,3048,4048,3019,3022
2016,0.4,52.9,30.5,19.7,46.7,12.3,6.4,5.9,11.1,3275,2985,3572,3454,3132,3117,3063,3233,3687,2839,3775,2872,2851
2015,0.4,55.1,31.1,21.1,44.5,11.9,6.4,5.8,10.6,3072,2781,3359,3213,2918,2964,,2970,3508,2716,3553,2723,2686
2014,0.5,56.6,31.3,22.3,42.9,11.4,6.5,6,10.2,2864,,,2966,2761,2797,,2832,3292,2554,3301,2566,2532
2013,0.6,56.8,31.4,22.2,42.6,11.3,6.3,5.9,10.6,2609,,2609,,,,,2537,2965,2432,3133,2366,2297
2012,,,35.7,18.4,,9.8,6.6,5.2,12.2,2290,,2290,2286,2257,2226,,2130,2654,,2735,2100,2058
2011,,,36,17.7,,10.1,6.6,5.3,12.2,2049,,2049,2053,2006,1990,,1920,2382,2024,2485,1807,1826
2010,,,36.7,16.1,,10,6.9,6,12.7,1690,,1690,1696,1632,1643,,1582,1946,,1956,1511,1520
2009,,,36.1,15.2,,10,6.8,6,12.7,1417,,1417,1422,1350,1378,,1331,1625,1443,1671,1264,1276
2008,,,37.1,13.8,,9,6.4,5.5,12.2,1340,,1340,1352,1275,1273,,1264,1534,1397,1582,1169,1219
