时间,非食品居民消费价格指数(YOY),消费品居民消费价格指数(YOY),服务居民消费价格指数(YOY),不包括食品和能源居民消费价格指数(YOY),非食品居民消费价格指数(MOM),消费品居民消费价格指数(MOM),服务居民消费价格指数(MOM),不包括食品和能源居民消费价格指数(MOM)
2024-11-01,0,0,0.4,0.3,-0.1,-0.7,-0.3,-0.1
2024-10-01,-0.3,0.2,0.4,0.2,0,-0.4,0,0
2024-09-01,-0.2,0.5,0.2,0.1,-0.2,0.2,-0.3,-0.1
2024-08-01,0.2,0.7,0.5,0.3,-0.3,0.7,-0.1,-0.2
2024-07-01,0.7,0.5,0.6,0.4,0.4,0.4,0.6,0.3
2024-06-01,0.8,-0.1,0.7,0.6,-0.2,-0.4,0,-0.1
2024-05-01,0.8,0,0.8,0.6,-0.2,-0.1,-0.1,-0.2
2024-04-01,0.9,0,0.8,0.7,0.3,-0.1,0.3,0.2
2024-03-01,0.7,-0.4,0.8,0.6,-0.5,-0.9,-1.1,-0.6
2024-02-01,1.1,-0.1,1.9,1.2,0.5,1.1,1,0.5
2024-01-01,0.4,-1.7,0.5,0.4,0.2,0.2,0.4,0.3
2023-12-01,0.5,-1.1,1,0.6,-0.1,0.1,0.1,0.1
2023-11-01,0.4,-1.4,1,0.6,-0.4,-0.5,-0.4,-0.3
2023-10-01,0.7,-1.1,1.2,0.6,0,-0.1,-0.1,0
2023-09-01,0.7,-0.9,1.3,0.8,0.2,0.4,-0.1,0.1
2023-08-01,0.5,-0.7,1.3,0.8,0.2,0.4,0.1,0
2023-07-01,0,-1.3,1.2,0.8,0.5,-0.1,0.8,0.5
2023-06-01,-0.6,-0.5,0.7,0.4,-0.1,-0.3,0.1,-0.1
2023-05-01,0,-0.3,0.9,0.6,-0.1,-0.2,-0.1,0
2023-04-01,0.1,-0.4,1,0.7,0.1,-0.5,0.3,0.1
2023-03-01,0.3,0.5,0.8,0.7,0,-0.5,0.1,0
2023-02-01,0.6,1.2,0.6,0.6,-0.2,-0.6,-0.4,-0.2
2023-01-01,1.2,2.8,1,1,0.3,0.7,0.8,0.4
2022-12-01,1.1,2.6,0.6,0.7,-0.2,-0.1,0.1,0.1
2022-11-01,1.1,2.3,0.5,0.6,0,-0.1,-0.2,-0.2
2022-10-01,1.1,3.3,0.4,0.6,0,0.1,0,0.1
2022-09-01,1.5,4.3,0.5,0.6,0,0.6,-0.1,0
2022-08-01,1.7,3.7,0.7,0.8,-0.3,-0.2,0,0
2022-07-01,1.9,4,0.7,0.8,-0.1,0.6,0.3,0.1
2022-06-01,2.5,3.5,1,1,0.4,-0.1,0.2,0.1
2022-05-01,2.1,3,0.7,0.9,0.1,-0.3,0,0
2022-04-01,2.2,3,0.8,0.9,0.2,0.5,0.1,0.1
2022-03-01,2.2,1.7,1.1,1.1,0.3,0.2,-0.2,-0.1
2022-02-01,2.1,0.7,1.2,1.1,0.4,1,0,0.2
2022-01-01,2,0.4,1.7,1.2,0.2,0.5,0.3,0.1
2021-12-01,2.1,1.5,1.5,1.2,-0.2,-0.4,0,0
2021-11-01,2.5,2.9,1.5,1.2,0,0.9,-0.3,-0.2
2021-10-01,2.4,1.6,1.4,1.3,0.4,1.1,0.1,0.1
2021-09-01,2,0.2,1.4,1.2,0.2,0,0.1,0.2
2021-08-01,1.9,0.3,1.5,1.2,-0.1,0.2,0,0
2021-07-01,2.1,0.6,1.6,1.3,0.5,0.1,0.6,0.3
2021-06-01,1.7,1.1,1,0.9,0,-0.6,-0.1,-0.1
2021-05-01,1.6,1.6,0.9,0.9,0.2,-0.4,0.2,0.1
2021-04-01,1.3,1,0.7,0.7,0.2,-0.7,0.4,0.3
2021-03-01,0.7,0.6,0.2,0.3,0.2,-0.8,-0.1,0
2021-02-01,-0.2,-0.3,-0.1,0,0.4,0.7,0.4,0.2
2021-01-01,-0.8,-0.1,-0.7,-0.3,0.3,1.5,0.2,0.1
