Date,Retail Sales (CNY 100M),Retail Sales Tot Per Annu (CNY 100M),Retail Sales Y%Y,Retail Sales Tot Growth Per Annum (%),Above Threshold Retail Sales (CNY 100M),Above Threshold Retail Sales Tot Per Annum (CNY 100M),Above Threshold Retail Sales Y%Y,Above Threshold Retail Sales Tot Growth Per Annum (%),Urban Retail Sales (CNY 100M),Urban Retail Sales Tot Per Annum (CNY 100M),Urban Retail Sales Y%Y,Urban Retail Sales Tot Growth Per Annum (%),Rural Retail Sales (CNY 100M),Rural Retail Sales Tot Per Annum (CNY 100M),Rural Retail Sales Y%Y,Rural Retail Sales Tot Growth Per Annum (%),Restraurant Revenue Value (CNY 100M),Restraurant Revenue Tot Per Annum (CNY 100M),Restraurant Revenue Y%Y,Restraurant Revenue Tot Growth Per Annum (%),Over Threshold Restraurant Revenue Value (CNY 100M),Over Threshold Restraurant Revenue Tot Per Annum (CNY 100M),Over Threshold Restraurant Revenue Y%Y,Over Threshold Restraurant Revenue Tot Growth Per Annum (%),Goods Retail Sales (CNY 100M),Goods Retail Sales Tot Per Annum (CNY 100M),Goods Retail Sales Y%Y,Goods Retail Sales Tot Growth Per Annum (%),Over Threshold Good Retail Sales (CNY 100M),Over Threshold Good Retail Sales Tot Per Annum (CNY 100M),Over Threshold Good Retail Sales Y%Y,Over Threshold Good Retail Sales Tot Growth Per Annum (%),Over Threshold Supermarket Retail Sales Tot Growth Per Annum (%),Over Threshold Department Store Retail Sales Tot Growth Per Annum (%),Over Threshold Specialty Store Retail Sales Tot Growth Per Annum (%),Over Threshold Exclusive Store Retail Sales Tot Growth Per Annum (%),Over Threshold Convenient Store Retail Sales Tot Growth Per Annum (%),Online Retail Sales Tot Per Annum (CNY 100M),Online Retail Sales Tot Growth Per Annum (%),Physical Goods Online Retail Sales Tot Per Annum (CNY 100M),Physical Goods Online Retail Sales Tot Growth Per Annum (%),Physical Goods (food) Online Retail Sales Tot Growth Per Annum (%),Physical Goods (apparel) Online Retail Sales Tot Growth Per Annum (%),Physical Goods (others) Online Retail Sales Tot Growth Per Annum (%)
2024-05-01,39211.0,195236.9,3.7,4.1,14988.2,73858.0,3.4,4.0,34111.2,169417.9,3.7,4.0,5099.8,25819.0,4.1,4.7,4274.0,21634.4,5.0,8.4,1215.4,5858.2,2.5,5.9,34937.0,173602.5,3.6,3.5,13772.8,67999.8,3.5,3.9,1.8,-3.2,5.1,-1.0,4.9,57668.8,12.4,48280.4,11.5,19.6,9.0,10.8
2024-04-01,35699.1,156025.8,2.3,4.1,13640.9,58873.8,0.9,4.2,31026.4,135306.7,2.1,4.0,4672.7,20719.1,3.5,4.8,3915.2,17360.3,4.4,9.3,1099.8,4638.3,0.0,6.9,31783.9,138665.5,2.0,3.5,12541.1,54235.5,0.9,4.0,1.8,-3.5,5.7,-0.6,4.8,44110.3,11.5,37355.7,11.1,19.2,10.5,9.8
2024-03-01,39019.9,120326.8,3.1,4.7,15535.1,45450.8,2.6,5.2,33843.4,104280.3,3.0,4.6,5176.5,16046.5,3.8,5.2,3964.0,13445.2,6.9,10.8,1173.8,3551.1,3.2,9.2,35055.9,106881.6,2.7,4.0,14361.3,41899.7,2.5,4.9,2.2,-2.4,6.3,1.1,5.2,33081.8,12.4,28052.5,11.6,21.1,12.1,9.7
2024-02-01,,81306.9,,5.5,,29919.7,,6.7,,70436.9,,5.5,,10870,,5.8,,9481.2,,12.5,,2374.2,,12.4,,71825.7,,4.6,,27545.5,0.9,-3.0,7.8,4.2,5.8,21535.4,15.3,18206.5,14.4,26.1,17.8,10.8
2024-01-01,
2023-12-01,43550.2,471495.2,7.4,7.2,17885.4,178563.1,6.6,6.5,37071.0,407490.3,7.2,7.1,6479.2,64004.9,8.9,8.0,5405.1,52889.7,30.0,20.4,1252.5,13355.9,37.7,20.9,38145.1,418605.5,4.8,5.8,16632.9,165207.2,4.8,5.5,-0.4,8.8,4.9,4.5,7.5,154264.2,11.0,130173.8,8.4,11.2,10.8,7.1
2023-11-01,42505.0,427945.0,10.1,7.2,16857.8,161540.2,10.0,6.5,36530.2,370419.2,10.0,7.1,5974.8,57525.7,10.4,7.9,5579.9,47484.6,25.8,19.4,1151.7,12162.5,24.6,19.4,36925.1,380460.4,8.0,5.9,15706.1,149377.7,9.0,5.6,-0.5,7.7,5.1,4.5,7.4,139570.6,11.0,117708.8,8.3,12.0,9.2,7.5
2023-10-01,43333.0,385440,7.6,6.9,15362.6,144741.9,8.7,6.1,37478.8,333889.0,7.4,6.8,5854.2,51551.0,8.9,7.6,4799.6,41904.6,17.1,18.5,1204.8,10941.1,18.0,18.8,38533.4,343535.4,6.5,5.6,14157.8,133800.8,7.9,5.2,-0.6,7.2,4.7,3.6,7.3,122914.7,11.2,103009.7,8.4,11.3,7.6,8.2
2023-09-01,39826.0,342107,5.5,6.8,15890.3,129424.6,5.2,5.9,33984.6,296410.2,5.4,6.7,5841.3,45696.8,6.3,7.4,4286.8,37105.0,13.8,18.7,1158.4,9701.8,12.8,18.9,35539.2,305002,4.6,5.5,14731.9,119722.8,4.7,4.9,-0.4,7.7,4.3,3.1,7.5,108198.5,11.6,90435,8.9,10.4,9.6,8.5
2023-08-01,37932.7,302281,4.6,7,14460.8,113364.2,3.1,5.9,32973.7,262425.5,4.4,6.9,4958.9,39855.5,6.3,7.6,4212.1,32818.3,12.4,19.4,1124.9,8510.5,10.4,19.8,33720.6,269462.8,3.7,5.6,13335.8,104853.7,2.5,5,-0.5,7.9,4.1,3.1,7.3,95386.6,12.1,79820.6,9.5,8.4,10.9,9.2
2023-07-01,36760.7,264348.4,2.5,7.3,13762,98981.8,0.3,6.4,31920.1,229451.8,2.3,7.3,4840.6,34896.5,3.8,7.7,4277.4,28606.2,15.8,20.5,1116,7364.5,10.9,21.4,32483.4,235742,1,5.9,12645.5,91617.2,-0.5,5.3,-0.5,8.2,4.5,3.5,7.5,83097.5,12.5,69856.1,10,8.7,12,9.5
2023-06-01,39951.4,227587.6,3.1,8.2,16658.3,85341.3,2.3,7.4,34563.5,197531.7,3,8.1,5387.9,30055.9,4.2,8.4,4370.8,24328.9,16.1,21.4,1134.2,6229.6,15.4,23.5,35580.6,203258.8,1.7,6.8,15524.1,79111.7,1.4,6.3,-0.4,9.8,5.4,4.6,8.2,71621.2,13.1,60622.7,10.8,8.9,13.3,10.3
2023-05-01,37803.3,187636.3,12.7,9.3,14033.4,68720.6,12.5,8.7,32906.1,162968.3,12.7,9.3,4897.2,24668,12.8,9.4,4070.1,19958,35.1,22.6,1084.5,5085.5,31.4,25.4,33733.2,167678.2,10.5,7.9,12948.9,63635.1,11.1,7.5,-0.3,11.4,6.8,6,8,56905.7,13.8,48054.7,11.8,8.4,14.6,11.5
2023-04-01,34910.5,149832.9,18.4,8.5,13228.1,55500.7,19,7.8,30397.9,130062.2,18.6,8.4,4512.6,19770.7,17.3,8.6,3751.5,15887.9,43.8,19.8,1011,4017.5,44.6,23.9,31159,133945,15.9,7.3,12217.1,51483.2,17.3,6.7,0.7,11.1,6.5,2.9,8.1,44107.9,12.3,37164.3,10.4,9,13.5,9.6
2023-03-01,37855.4,114922.4,10.6,5.8,15459.1,43691.3,10.1,4.8,32868,99664.3,10.7,5.7,4987.4,15258.1,10,6.2,3707.1,12136.5,26.3,13.9,1076.9,3065,37.2,18.3,34148.3,102786,9.1,4.9,14382.2,40626.3,8.5,3.9,1.4,9.2,5.7,0.2,8.8,32862.6,8.6,27835.1,7.3,7.3,8.6,6.9
2023-02-01,,77067,,3.5,,28485.8,,2.1,,66796.3,,3.4,,10270.7,,4.5,,8429.4,,9.2,,2002.2,,10.2,,68637.6,,2.9,,26483.6,,1.5,2.3,5.5,3.6,-5.4,10,20543.8,6.2,17475.6,5.3,5.3,4,5.7
2023-01-01,
2022-12-01,40542.3,439732.5,-1.8,-0.2,17070.7,170903.3,-1.3,1.4,34594.4,380447.7,-1.8,-0.3,5947.9,59284.8,-1.3,0,4157.1,43940.8,-14.1,-6.3,881.6,10650.3,-17.8,-5.9,36385.3,395791.7,-0.1,0.5,16189.1,160253.1,-0.2,1.9,3,-9.3,3.5,0.2,3.7,137853.2,4,119642.1,6.2,16.1,3.5,5.7
2022-11-01,38615.1,399190.2,-5.9,-0.1,15606.6,153895.3,-5.8,1.7,33204.2,345853.3,-6,-0.1,5410.9,53336.9,-5.2,0.2,4435.3,39783.7,-8.4,-5.4,888.6,9745,-7.5,-4.6,34179.9,359406.5,-5.6,0.5,14718,144150.3,-5.7,2.1,3.1,-8,3.6,0,4.3,124585,4.2,108098.3,6.4,15.1,3.4,6.1
2022-10-01,40270.5,360575.1,-0.5,0.6,14290.6,138115.8,-0.5,2.6,34896.1,312649.1,-0.6,0.5,5374.5,47926,0.2,0.8,4099.4,35348.5,-8.1,-5,977.8,8832.2,-7.7,-4.3,36171.2,325226.6,0.5,1.2,13312.8,129283.6,0,3.1,3.7,-6.8,4.6,0.7,4.6,109542.4,4.9,94505.7,7.2,16.7,5.3,6.5
2022-09-01,37744.9,320304.6,2.5,0.7,15234.4,123844.7,6.1,3,32249.5,277753.1,2.5,0.7,5495.3,42551.5,2.3,0.9,3767.3,31249.1,-1.7,-4.6,981.6,7833.6,0.1,-3.9,33977.5,289055.5,3,1.3,14252.8,116011.1,6.6,3.5,4,-6.3,5.1,0.7,4.9,95884,4,82373.7,6.1,15.6,4.7,5.2
2022-08-01,36257.9,282559.7,5.4,0.5,14017.9,108653.1,9.3,2.6,31593.2,245503.5,5.5,0.4,4664.7,37056.2,5,0.7,3747.6,27481.8,8.4,-5,967.4,6828.9,12.9,-4.4,32510.3,255077.9,5.1,1.1,13050.5,101824.3,9.1,3.1,4.1,-6.6,4.6,-0.5,4.8,84294.9,3.7,72413.5,5.8,16.5,4,4.8
2022-07-01,35870.1,246301.8,2.7,-0.2,13737.1,94749.6,6.8,1.7,31204.8,213910.4,2.7,-0.3,4665.3,32391.5,2.6,0.1,3694.2,23734.2,-1.5,-6.8,958.8,5846.7,-1.2,-6.8,32175.9,222567.6,3.2,0.5,12778.3,88902.9,7.5,2.3,4.1,-7.4,3.7,-2.3,4.6,73223.8,3.2,63152.5,5.7,15.7,3.4,5
2022-06-01,38742.5,210431.7,3.1,-0.7,16540.6,81231.2,8.1,0.8,33571.2,182705.6,3.1,-0.8,5171.2,27726.2,2.7,-0.3,3765.7,20040,-4,-7.7,945,4879.2,-2.2,-7.8,34976.7,190391.7,3.9,0.1,15595.6,76352,8.8,1.4,4.2,-8.4,2.8,-4.1,4.7,63006.5,3.1,54493.2,5.6,15.7,2.4,5.1
2022-05-01,33547,171689.3,-6.7,-1.5,12713,64614,-6.5,-0.9,29204.9,149134.3,-6.7,-1.6,4342.2,22554.9,-6.3,-1,3012.3,16274.3,-21.1,-8.5,785.7,3905.8,-20.8,-9.1,30534.7,155415,-5,-0.7,11927.3,60708.2,-5.3,-0.3,4,-10.3,4,-7.6,4.7,49604.4,2.9,42718.3,5.6,16,-1.6,6.3
2022-04-01,29483.1,138142.2,-11.1,-0.2,11012,51586.5,-14,0.6,25637,119929.5,-11.3,-0.3,3846.1,18212.8,-9.8,0.4,2608.9,13262,-22.7,-5.1,652.6,3063.7,-24,-5.6,26874.2,124880.2,-9.7,0.4,10359.3,48522.8,-13.3,1,3.6,-8.2,2.5,-5.9,6.8,38691.8,3.3,32886.7,5.2,12.9,-1.7,6.3
2022-03-01,34233.1,108659.1,-3.5,3.3,13630.7,40600.2,-1.4,5.4,29699.4,94292.5,-3.6,3.2,4533.7,14366.6,-3.3,3.5,2935.3,10653.1,-16.4,0.5,727.8,2408.2,-15.6,0.9,31297.8,98006,-2.1,3.6,12903,38191.9,-0.4,5.7,3.2,-3.3,6.6,1,10.1,30129.6,6.6,25256.5,8.8,13.5,0.9,10.6
