Date,PPI Input YoY,Fuel Input YoY,Black Metal Input YoY,Base Metal Input YoY,Chemical Input YoY,Wood and Pulp Input YoY,Construction and Non-metal Material Input YoY,Other Raw Material Input YoY,Subsidiary Agricultural Products Input YoY,Fabric Raw Material Input YoY,PPI Input MoM,Fuel Input MoM,Black Metal Input MoM,Base Metal Input MoM,Chemical Input MoM,Wood and Pulp Input MoM,Construction and Non-metal Material Input MoM,Other Raw Material Input MoM,Subsidiary Agricultural Products Input MoM,Fabric Raw Material Input MoM
2026-04-01,3.5,4.4,-0.9,21.3,5.9,-2.2,-5.1,0.3,-2.1,1.0,2.1,6.3,0.6,-0.1,7.3,0.1,-1.0,0.1,0.3,1.3
2026-03-01,0.8,-3.8,-2.3,22.3,-2.2,-2.9,-4.4,0.0,-2.7,-0.6,1.2,3.6,0.2,1.5,2.9,-0.1,-0.1,0.2,-0.5,0.9
2026-02-01,-0.7,-8.4,-3.1,21.3,-5.0,-3.0,-4.5,-0.3,-2.3,-1.9,0.7,-1.2,-0.2,4.8,1.0,-0.5,0.1,0.5,0.0,0.2
2026-01-01,-1.4,-7.1,-2.9,16.1,-5.8,-2.5,-4.7,-1.0,-2.9,-2.2,0.5,-0.7,0.0,4.5,0.1,-0.4,-0.6,0.1,0.7,0.0
2025-12-01,-2.1,-5.7,-3.3,10.5,-4.9,-2.3,-6.4,-1.1,-4.1,-1.9,0.4,1.5,-0.4,2.5,-0.2,-0.1,0.1,0.1,-0.1,-0.1
2025-11-01,-2.5,-6.9,-3.0,8.1,-5.0,-2.4,-5.8,-1.2,-4.9,-1.9,0.1,0.1,-0.2,1.8,-0.6,0.4,0.2,0.1,-0.3,-0.3
2025-10-01,-2.7,-7.4,-2.8,7.5,-5.0,-3.1,-4.5,-1.4,-5.2,-1.8,0.1,-0.1,0.2,2.4,-0.6,0.3,-0.2,0.1,-1.3,-0.2
2025-09-01,-3.1,-8.1,-2.9,6.6,-5.5,-3.9,-4.5,-1.6,-5.4,-1.7,0.1,0.5,0.4,1.2,-0.4,-0.3,-0.6,0.0,-0.2,-0.1
2025-08-01,-4.0,-9.7,-5.6,4.7,-6.2,-4.0,-4.7,-1.8,-5.6,-2.0,0.0,0.7,0.6,0.1,-0.4,-0.3,-1.4,0.0,-0.4,0.1
2025-07-01,-4.5,-10.8,-8.0,2.8,-6.5,-4.1,-3.8,-2.0,-4.6,-2.5,-0.3,-0.6,-0.7,0.7,-0.5,-0.3,-1.4,-0.2,0.0,-0.1
2025-06-01,-4.3,-10.4,-8.0,2.4,-6.2,-4.2,-2.6,-2.0,-4.2,-2.4,-0.7,-2.0,-1.1,0.3,-0.7,-0.4,-1.5,-0.2,-0.5,-0.1
2025-05-01,-3.6,-9.8,-7.3,4.6,-5.4,-3.9,-1.1,-1.8,-2.6,-2.5,-0.6,-2.1,-0.6,-0.1,-1.2,-0.5,-0.2,-0.2,0.0,-0.4
2025-04-01,-2.7,-7.7,-6.7,8.5,-4.1,-3.1,-1.4,-1.6,-2.9,-2.3,-0.6,-2.3,-0.6,0.7,-0.7,-0.6,-0.4,-0.2,-0.2,-0.2
2025-03-01,-2.4,-6.8,-7.8,10.8,-3.4,-2.7,-2.1,-1.6,-3.0,-2.0,-0.2,-1.2,-0.6,0.5,0.5,-0.3,-0.4,-0.2,-0.1,-0.1
2025-02-01,-2.3,-5.0,-8.8,11.1,-3.9,-2.4,-2.3,-1.6,-3.5,-1.7,-0.2,-0.1,-0.1,0.2,0.0,-0.1,-0.5,-0.3,-0.7,-0.2
2025-01-01,-2.3,-5.2,-8.9,10.9,-4.1,-2.5,-2.3,-1.4,-3.3,-1.4,-0.2,-0.1,-0.3,-0.1,-0.2,-0.2,-0.1,-0.1,-0.4,-0.2
2024-12-01,-2.3,-5.9,-7.9,11.4,-4.7,-2.3,-2.3,-1.3,-3.9,-1.6,-0.1,0.2,-0.2,0.3,-0.4,-0.2,0.7,0.0,-1.0,-0.1
