,Date,工业生产者出厂价格指数 MoM,煤炭开采和洗选业工业生产者出厂价格指数 MoM,石油和天然气开采业工业生产者出厂价格指数 MoM,黑色金属矿采选业工业生产者出厂价格指数 MoM,有色金属矿采选业工业生产者出厂价格指数 MoM,非金属矿采选业工业生产者出厂价格指数 MoM,开采专业及辅助性活动工业生产者出厂价格指数 MoM,农副食品加工业工业生产者出厂价格指数 MoM,食品制造业工业生产者出厂价格指数 MoM,酒、饮料及精制茶制造业工业生产者出厂价格指数 MoM,烟草制品业工业生产者出厂价格指数 MoM,纺织业工业生产者出厂价格指数 MoM,纺织服装、服饰业工业生产者出厂价格指数 MoM,皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数 MoM,木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数 MoM,家具制造业工业生产者出厂价格指数 MoM,造纸和纸制品业工业生产者出厂价格指数 MoM,印刷和记录媒介复制业工业生产者出厂价格指数 MoM,文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数 MoM,石油、煤炭及其他燃料加工业工业生产者出厂价格指数 MoM,化学原料和化学制品制造业工业生产者出厂价格指数 MoM,医药制造业工业生产者出厂价格指数 MoM,化学纤维制造业工业生产者出厂价格指数 MoM,橡胶和塑料制品业工业生产者出厂价格指数 MoM,非金属矿物制品业工业生产者出厂价格指数 MoM,黑色金属冶炼和压延加工业工业生产者出厂价格指数 MoM,有色金属冶炼和压延加工业工业生产者出厂价格指数 MoM,金属制品业工业生产者出厂价格指数 MoM,通用设备制造业工业生产者出厂价格指数 MoM,专用设备制造业工业生产者出厂价格指数 MoM,汽车制造业工业生产者出厂价格指数 MoM,铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数 MoM,电气机械和器材制造业工业生产者出厂价格指数 MoM,计算机、通信和其他电子设备制造业工业生产者出厂价格指数 MoM,仪器仪表制造业工业生产者出厂价格指数 MoM,其他制造业工业生产者出厂价格指数 MoM,废弃资源综合利用业工业生产者出厂价格指数 MoM,金属制品、机械和设备修理业工业生产者出厂价格指数 MoM,电力、热力生产和供应业工业生产者出厂价格指数 MoM,燃气生产和供应业工业生产者出厂价格指数 MoM,水的生产和供应业工业生产者出厂价格指数 MoM,其他采矿业工业生产者出厂价格指数 MoM
0,2020-01-01,0.0,-0.6,4.3,0.0,0.4,0.1,-0.3,-0.2,0.1,0.0,0.1,0.0,0.1,-0.3,-0.1,-0.1,0.2,0.0,0.5,1.8,-0.4,-0.1,-0.1,-0.1,-0.1,-0.6,0.6,0.0,-0.1,0.1,0.2,-0.3,-0.4,-0.2,-0.2,-0.2,0.1,1.8,0.1,1.0,0.1,
1,2020-02-01,-0.5,0.0,-11.0,0.0,0.4,0.4,-1.1,0.2,-0.3,0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.2,0.3,-4.4,-0.5,0.3,-0.6,-0.2,-0.3,-1.4,-1.5,-0.2,0.0,-0.1,0.0,0.3,-0.3,-0.3,0.1,0.0,-0.9,0.0,-0.2,-1.1,-0.1,
2,2020-03-01,-1.0,0.3,-17.0,0.4,-1.3,-0.1,0.4,-0.5,0.1,-0.2,0.4,-0.3,-0.5,-0.1,-0.1,-0.1,0.9,0.1,-1.0,-7.8,-1.4,0.0,-1.9,-0.5,-0.9,-1.9,-3.5,-0.3,-0.1,0.2,-0.1,-0.1,-0.5,0.3,-0.3,0.4,-3.8,0.0,-0.4,-2.6,-0.4,
3,2020-04-01,-1.3,-2.3,-35.7,-0.8,-0.2,-0.1,-0.2,-0.2,-0.1,0.0,0.0,-1.3,-0.3,-0.3,-0.4,0.1,-2.3,-0.2,0.4,-9.0,-3.0,0.3,-5.2,-0.6,-1.4,-1.6,-2.2,-0.1,-0.1,-0.1,-0.1,0.1,-1.1,0.3,0.3,0.1,-2.6,0.7,-0.4,-3.8,-0.1,
4,2020-05-01,-0.4,-2.9,-9.1,0.1,1.6,0.6,0.2,-0.8,0.1,0.1,0.0,-0.9,0.0,0.0,0.0,-0.2,-2.0,-0.2,1.0,-4.0,-1.2,0.0,-1.1,-0.3,-0.3,0.0,1.6,-0.1,-0.1,-0.2,-0.1,0.1,-0.3,-0.1,0.1,0.0,0.0,0.0,-0.4,-1.0,0.0,
5,2020-06-01,0.4,-0.7,38.2,2.9,1.2,0.1,0.0,0.4,0.1,0.2,0.0,-0.8,-0.2,-0.2,-0.3,0.0,-0.6,-0.6,0.7,1.7,0.4,0.0,0.3,0.1,-0.3,1.9,1.9,0.2,-0.1,0.1,-0.1,0.0,0.2,0.1,0.1,0.2,1.5,0.5,-0.3,-1.4,0.0,
6,2020-07-01,0.4,0.6,12.0,2.7,2.5,-0.3,0.4,1.0,0.0,0.2,0.1,-0.7,-0.2,-0.3,0.0,0.1,0.8,-0.4,0.5,3.4,-0.1,-0.1,-1.6,-0.3,-0.8,1.1,3.1,0.1,0.0,-0.1,0.1,0.0,0.2,-0.3,-0.1,-0.2,3.1,0.1,-0.3,0.2,0.1,
7,2020-08-01,0.3,-0.9,3.6,4.3,3.1,-0.3,-0.5,0.6,0.0,0.0,0.0,-0.4,-0.2,-0.2,0.1,-0.1,0.4,0.1,1.8,1.2,-0.2,0.0,-1.2,-0.2,-0.4,1.5,3.0,0.1,-0.1,-0.1,-0.1,0.1,0.4,-0.4,-0.4,0.3,1.4,0.0,-0.3,-0.2,0.1,
8,2020-09-01,0.1,0.3,-2.3,3.1,0.6,0.7,-0.7,0.2,0.0,0.1,0.0,-0.5,-0.1,-0.3,0.0,-0.1,0.1,0.0,-0.8,-0.5,0.9,-0.1,-1.2,-0.1,0.4,1.3,0.7,0.2,-0.2,-0.1,0.1,-0.1,0.0,-0.7,0.3,-0.1,1.5,-0.5,-0.2,-0.2,0.0,
9,2020-10-01,0.0,2.1,-4.9,0.7,-0.3,0.1,-1.1,-0.1,0.0,-0.1,0.1,0.3,0.0,-0.1,0.0,-0.1,0.3,-0.2,-0.6,-1.6,1.1,-0.1,1.0,0.0,0.3,-0.1,-0.3,0.1,0.0,-0.1,-0.1,-0.3,0.0,-0.2,0.0,-0.1,0.8,0.0,0.0,0.4,0.0,
