,Date,工业生产者出厂价格指数 YoY,煤炭开采和洗选业工业生产者出厂价格指数 YoY,石油和天然气开采业工业生产者出厂价格指数 YoY,黑色金属矿采选业工业生产者出厂价格指数 YoY,有色金属矿采选业工业生产者出厂价格指数 YoY,非金属矿采选业工业生产者出厂价格指数 YoY,其他采矿业工业生产者出厂价格指数 YoY,农副食品加工业工业生产者出厂价格指数 YoY,食品制造业工业生产者出厂价格指数 YoY,饮料制造业工业生产者出厂价格指数 YoY,烟草制品业工业生产者出厂价格指数 YoY,纺织业工业生产者出厂价格指数 YoY,纺织服装、鞋、帽制造业工业生产者出厂价格指数 YoY,皮革、毛皮、羽毛 (绒) 及其制品业工业生产者出厂价格指数 YoY,木材加工及木、竹、藤、棕、草制品业工业生产者出厂价格指数 YoY,家具制造业工业生产者出厂价格指数 YoY,造纸及纸制品业工业生产者出厂价格指数 YoY,印刷业和记录媒介的复制工业生产者出厂价格指数 YoY,文教体育用品制造业工业生产者出厂价格指数 YoY,石油加工、炼焦及核燃料加工业工业生产者出厂价格指数 YoY,化学原料及化学制品制造业工业生产者出厂价格指数 YoY,医药制造业工业生产者出厂价格指数 YoY,化学纤维制造业工业生产者出厂价格指数 YoY,橡胶制品业工业生产者出厂价格指数 YoY,塑料制品业工业生产者出厂价格指数 YoY,非金属矿物制品业工业生产者出厂价格指数 YoY,黑色金属冶炼及压延加工业工业生产者出厂价格指数 YoY,有色金属冶炼及压延加工业工业生产者出厂价格指数 YoY,金属制品业工业生产者出厂价格指数 YoY,通用设备制造业工业生产者出厂价格指数 YoY,专用设备制造业工业生产者出厂价格指数 YoY,交通运输设备制造业工业生产者出厂价格指数 YoY,电气机械及器材制造业工业生产者出厂价格指数 YoY,通信设备、计算机及其他电子设备制造工业生产者出厂价格指数 YoY,仪器仪表及文化、办公用机械制造业工业生产者出厂价格指数 YoY,工艺品及其他制造业工业生产者出厂价格指数 YoY,废弃资源和废旧材料回收加工业工业生产者出厂价格指数 YoY,电力、热力的生产和供应业工业生产者出厂价格指数 YoY,燃气生产和供应业工业生产者出厂价格指数 YoY,水的生产和供应业工业生产者出厂价格指数 YoY,开采辅助活动工业生产者出厂价格指数 YoY,酒、饮料和精制茶制造业工业生产者出厂价格指数 YoY,纺织服装、服饰业工业生产者出厂价格指数 YoY,皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数 YoY,木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数 YoY,造纸和纸制品业工业生产者出厂价格指数 YoY,印刷和记录媒介复制业工业生产者出厂价格指数 YoY,文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数 YoY,石油加工、炼焦和核燃料加工业工业生产者出厂价格指数 YoY,化学原料和化学制品制造业工业生产者出厂价格指数 YoY,橡胶和塑料制品业工业生产者出厂价格指数 YoY,黑色金属冶炼和压延加工业工业生产者出厂价格指数 YoY,有色金属冶炼和压延加工业工业生产者出厂价格指数 YoY,汽车制造业工业生产者出厂价格指数 YoY,铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数 YoY,电气机械和器材制造业工业生产者出厂价格指数 YoY,计算机、通信和其他电子设备制造业工业生产者出厂价格指数 YoY,仪器仪表制造业工业生产者出厂价格指数 YoY,其他制造业工业生产者出厂价格指数 YoY,废弃资源综合利用业工业生产者出厂价格指数 YoY,金属制品、机械和设备修理业工业生产者出厂价格指数 YoY,电力、热力生产和供应业工业生产者出厂价格指数 YoY
0,2007-01-01,3.3,2.0,4.6,0.3,22.7,3.3,,8.5,1.8,1.1,0.6,0.9,0.9,2.0,3.7,1.0,1.1,-0.5,1.6,9.7,3.5,-0.9,3.3,4.9,2.6,2.0,4.9,20.0,3.2,1.1,0.8,0.1,7.5,-3.7,-0.2,4.1,5.9,2.8,6.7,5.4,,,,,,,,,,,,,,,,,,,,,,
1,2007-02-01,2.6,2.4,-7.3,0.8,21.8,3.4,0.0,9.0,1.6,1.0,0.5,0.9,0.6,2.3,3.7,1.2,0.3,0.0,1.7,7.4,3.0,-0.9,2.9,4.8,2.4,1.2,5.9,14.7,2.7,1.2,0.6,-0.2,6.8,-3.4,-1.5,3.4,2.0,2.9,6.2,5.5,,,,,,,,,,,,,,,,,,,,,,
2,2007-03-01,2.7,2.0,-9.2,3.5,21.9,3.3,0.0,9.6,1.8,1.3,0.2,0.5,0.4,2.3,3.9,1.2,1.0,-0.3,1.5,7.0,3.2,-1.3,3.3,4.1,2.7,0.9,6.9,16.3,3.1,1.2,0.6,0.0,5.4,-2.7,-1.8,3.3,4.3,3.0,5.6,5.0,,,,,,,,,,,,,,,,,,,,,,
3,2007-04-01,2.9,2.4,-4.1,5.7,18.6,3.4,0.0,10.0,2.0,1.2,0.9,0.9,1.1,1.5,4.0,1.4,0.8,0.2,2.5,5.6,3.6,-0.4,3.6,4.1,2.3,0.6,6.0,18.8,2.9,1.4,0.5,-0.2,5.8,-2.1,-1.6,3.5,4.8,2.9,5.1,5.1,,,,,,,,,,,,,,,,,,,,,,
4,2007-05-01,2.8,2.6,-3.7,6.2,10.7,4.7,0.0,12.1,1.9,1.5,0.6,0.8,1.3,1.9,4.1,1.1,0.7,-0.3,2.6,4.7,3.4,0.5,4.4,4.1,2.0,0.4,6.5,15.7,2.7,1.5,1.8,-0.1,3.4,-2.2,-1.2,2.6,3.7,3.0,4.7,4.5,,,,,,,,,,,,,,,,,,,,,,
5,2007-06-01,2.5,3.0,-6.3,7.8,8.0,4.1,0.0,12.8,2.3,0.9,0.2,0.6,0.7,1.7,3.8,1.3,0.4,0.2,1.6,0.9,3.0,2.9,4.7,3.4,2.1,0.8,6.3,16.5,2.4,1.5,1.7,0.0,3.1,-2.0,-1.5,3.2,3.8,3.2,4.4,4.6,,,,,,,,,,,,,,,,,,,,,,
6,2007-07-01,2.4,3.6,-4.9,9.0,7.6,2.6,0.0,14.9,2.1,1.0,0.4,0.7,0.8,2.4,3.6,1.3,0.6,0.7,0.8,0.2,3.2,3.5,3.3,2.7,1.9,1.7,5.4,12.6,2.3,1.0,1.7,0.2,3.0,-2.6,-1.4,4.2,2.7,2.6,4.9,5.0,,,,,,,,,,,,,,,,,,,,,,
7,2007-08-01,2.6,3.8,-2.0,11.9,6.2,2.1,0.0,16.4,2.6,1.0,0.0,0.8,1.0,2.5,3.3,1.7,0.8,0.7,1.5,0.1,2.9,4.8,2.1,2.8,1.4,1.2,7.0,12.2,2.3,1.1,1.7,0.2,2.4,-2.3,-0.8,4.7,2.8,1.7,4.4,4.9,,,,,,,,,,,,,,,,,,,,,,
8,2007-09-01,2.7,4.5,-3.7,16.9,7.8,1.9,0.0,15.7,3.4,1.0,0.0,1.0,0.3,3.1,3.6,1.6,1.1,0.9,0.6,0.3,3.3,4.9,1.8,2.1,1.0,1.7,9.5,11.9,2.3,1.4,1.9,0.1,2.2,-2.7,-0.9,5.0,3.2,1.4,3.3,4.5,,,,,,,,,,,,,,,,,,,,,,
9,2007-10-01,3.2,5.2,4.2,16.6,8.6,2.3,0.0,16.3,3.4,1.2,0.3,0.8,0.4,3.8,3.2,1.6,1.3,1.2,0.9,2.0,4.3,4.2,3.1,2.0,0.9,0.6,10.5,10.2,2.2,1.4,2.2,0.3,1.9,-2.2,-0.5,5.5,6.4,1.2,3.1,4.2,,,,,,,,,,,,,,,,,,,,,,
10,2007-11-01,4.6,6.2,22.2,19.9,9.2,2.9,0.0,17.7,4.0,1.2,0.3,0.8,0.1,3.1,3.2,1.9,1.7,1.6,0.8,9.8,5.1,4.3,3.1,2.5,2.0,2.4,11.7,10.6,2.5,1.5,1.9,0.0,1.8,-2.2,-1.4,6.1,6.6,1.0,4.1,4.2,,,,,,,,,,,,,,,,,,,,,,
