日期,粮油、食品、饮料、烟酒类商品零售类值当期值(亿元),粮油、食品、饮料、烟酒类商品零售类值累计值(亿元),粮油、食品、饮料、烟酒类商品零售类值同比增长(%),粮油、食品、饮料、烟酒类商品零售类值累计增长(%),粮油、食品类商品零售类值当期值(亿元),粮油、食品类商品零售类值累计值(亿元),粮油、食品类商品零售类值同比增长(%),粮油、食品类商品零售类值累计增长(%),饮料类商品零售类值当期值(亿元),饮料类商品零售类值累计值(亿元),饮料类商品零售类值同比增长(%),饮料类商品零售类值累计增长(%),烟酒类商品零售类值当期值(亿元),烟酒类商品零售类值累计值(亿元),烟酒类商品零售类值同比增长(%),烟酒类商品零售类值累计增长(%),服装鞋帽、针、纺织品类商品零售类值当期值(亿元),服装鞋帽、针、纺织品类商品零售类值累计值(亿元),服装鞋帽、针、纺织品类商品零售类值同比增长(%),服装鞋帽、针、纺织品类商品零售类值累计增长(%),服装类商品零售类值当期值(亿元),服装类商品零售类值累计值(亿元),服装类商品零售类值同比增长(%),服装类商品零售类值累计增长(%),化妆品类商品零售类值当期值(亿元),化妆品类商品零售类值累计值(亿元),化妆品类商品零售类值同比增长(%),化妆品类商品零售类值累计增长(%),金银珠宝类商品零售类值当期值(亿元),金银珠宝类商品零售类值累计值(亿元),金银珠宝类商品零售类值同比增长(%),金银珠宝类商品零售类值累计增长(%),日用品类商品零售类值当期值(亿元),日用品类商品零售类值累计值(亿元),日用品类商品零售类值同比增长(%),日用品类商品零售类值累计增长(%),体育、娱乐用品类商品零售类值当期值(亿元),体育、娱乐用品类商品零售类值累计值(亿元),体育、娱乐用品类商品零售类值同比增长(%),体育、娱乐用品类商品零售类值累计增长(%),书报杂志类商品零售类值当期值(亿元),书报杂志类商品零售类值累计值(亿元),书报杂志类商品零售类值同比增长(%),书报杂志类商品零售类值累计增长(%),家用电器和音像器材类商品零售类值当期值(亿元),家用电器和音像器材类商品零售类值累计值(亿元),家用电器和音像器材类商品零售类值同比增长(%),家用电器和音像器材类商品零售类值累计增长(%),中西药品类商品零售类值当期值(亿元),中西药品类商品零售类值累计值(亿元),中西药品类商品零售类值同比增长(%),中西药品类商品零售类值累计增长(%),文化办公用品类商品零售类值当期值(亿元),文化办公用品类商品零售类值累计值(亿元),文化办公用品类商品零售类值同比增长(%),文化办公用品类商品零售类值累计增长(%),家具类商品零售类值当期值(亿元),家具类商品零售类值累计值(亿元),家具类商品零售类值同比增长(%),家具类商品零售类值累计增长(%),通讯器材类商品零售类值当期值(亿元),通讯器材类商品零售类值累计值(亿元),通讯器材类商品零售类值同比增长(%),通讯器材类商品零售类值累计增长(%),石油及制品类商品零售类值当期值(亿元),石油及制品类商品零售类值累计值(亿元),石油及制品类商品零售类值同比增长(%),石油及制品类商品零售类值累计增长(%),建筑及装潢材料类商品零售类值当期值(亿元),建筑及装潢材料类商品零售类值累计值(亿元),建筑及装潢材料类商品零售类值同比增长(%),建筑及装潢材料类商品零售类值累计增长(%),汽车类商品零售类值当期值(亿元),汽车类商品零售类值累计值(亿元),汽车类商品零售类值同比增长(%),汽车类商品零售类值累计增长(%),其他商品零售类值当期值(亿元),其他商品零售类值累计值(亿元),其他商品零售类值同比增长(%),其他商品零售类值累计增长(%)
2023-12-01,2725.0,27385.0,6.5,6.0,1905.8,18886.8,5.8,5.2,275.8,2991.3,7.7,3.2,543.4,5506.9,8.3,10.6,1576.2,14094.8,26.0,12.9,1179.9,10352.9,30.5,15.4,322.8,4141.7,9.7,5.1,304.0,3310.4,29.4,13.3,669.7,7576.3,-5.9,2.7,109.4,1185.5,16.7,11.2,204.6,1750.0,-3.6,4.8,772.5,8718.7,-0.1,0.5,681.7,6709.8,-18.0,5.1,392.8,4126.0,-9.0,-6.1,164.8,1516.2,2.3,2.8,627.8,6814.0,11.0,7.0,2033.7,23218.5,8.6,6.6,169.6,1569.4,-7.5,-7.8,5419.7,48614.0,4.0,5.9,458.6,4477.0,-5.7,-2.3
2023-11-01,2432.2,24907.1,6.8,6.0,1672.9,17179.8,4.4,5.1,256.4,2734.1,6.3,2.8,502.9,4993.2,16.2,10.9,1502.5,12595.3,22.0,11.5,1111.8,9225.0,25.9,13.8,548.5,3843.1,-3.5,4.7,278.3,3024.4,10.7,11.9,748.9,6923.2,3.5,3.6,137.8,1079.5,16.0,10.7,189.1,1547.4,4.6,6.1,946.1,7970.2,2.7,0.6,626.6,6095.0,7.1,8.5,459.6,3742.9,-8.2,-5.8,163.6,1377.1,2.2,2.8,826.3,6184.7,16.8,6.6,1953.1,21326.9,7.2,6.5,154.0,1417.3,-10.4,-7.8,4314.4,43279.9,14.7,6.2,425.0,4063.6,-0.4,-1.9
2023-10-01,2328.1,22461.4,6.6,5.9,1624.1,15496.0,4.4,5.2,246.3,2476.1,6.2,2.4,457.7,4489.3,15.4,10.3,1207.1,11126.4,7.5,10.2,897.7,8143.4,8.7,12.3,317.4,3291.3,1.1,6.2,264.2,2749.3,10.4,12.0,615.2,6168.2,4.4,3.6,103.0,944.5,25.7,9.9,149.2,1348.9,-0.3,6.3,684.5,7025.5,9.6,0.3,564.3,5467.9,8.2,8.7,353.1,3284.5,7.7,-5.5,137.4,1221.5,1.7,2.9,698.8,5357.9,14.6,5.2,2070.3,19469.9,5.4,6.4,147.4,1267.6,-4.8,-7.5,4135.1,38968.4,11.4,5.3,382.6,3647.6,-0.8,-2.0
2023-09-01,2642.2,20138.9,11.2,5.8,1782.0,13885.6,8.3,5.3,292.6,2227.1,8.0,2.0,567.6,4026.2,23.1,9.8,1139.3,9935.2,9.9,10.6,825.1,7257.0,12.0,12.8,325.7,2966.0,1.6,6.8,279.1,2471.6,7.7,12.2,633.5,5569.2,0.7,3.5,98.1,847.4,10.7,8.3,209.2,1199.0,8.7,7.2,673.1,6344.5,-2.3,-0.6,574.0,4914.2,4.5,8.7,384.1,2929.2,-13.6,-6.8,138.0,1080.8,0.5,3.1,567.0,4658.1,0.4,3.9,2138.6,17443.5,8.9,6.5,143.0,1131.9,-8.2,-7.9,4382.5,34837.2,2.8,4.6,404.7,3256.2,-0.3,-2.2
2023-08-01,2156.6,17457.4,4,5.1,1492.7,12082.4,4.5,4.9,250,1929.3,0.8,1.2,413.9,3445.7,4.3,7.9,981.7,8760.4,4.5,10.6,704.6,6395,5.7,12.9,321.2,2639,9.7,7.5,283.3,2187.8,7.2,12.8,615.6,4921.9,1.5,3.9,95.9,772.4,-0.7,8,84.6,989.6,0.7,6.8,672.2,5655,-2.9,-0.4,522.9,4334,3.7,9.3,352.6,2542.7,-8.4,-5.7,130.2,941,4.8,3.4,455.1,4081.5,8.5,4.4,2070,15346.2,6,6.2,128,982.3,-11.4,-7.8,4112.3,30392.6,1.1,4.9,353.6,2849.9,-2.5,-2.4
2023-07-01,2065.4,15304.2,5.5,5.2,1430.8,10594.6,5.5,4.9,243.4,1674.5,3.1,1.3,391.2,3035.1,7.2,8.4,961.4,7776,2.3,11.4,683.2,5688.1,2.6,13.8,247,2315.3,-4.1,7.2,218.4,1905,-10,13.6,566,4305.3,-1,4.2,91,675.9,2.6,9.4,86.8,903.8,-2.8,7.4,726.1,4993,-5.5,0,508.7,3820.1,3.7,10.1,305.2,2199,-13.1,-5.3,126.1,811,0.1,3.2,446.6,3651.2,3,4,1973.7,13332.9,-0.6,6.2,121.9,852.9,-11.2,-7.3,3854.6,26265.3,-1.5,5.5,346.6,2506.3,-4.2,-2.4
2023-06-01,2377.4,13235.4,6,5.1,1630.6,9161,5.4,4.8,286.8,1433.1,3.6,1,460,2641.3,9.6,8.6,1238.3,6834.3,6.9,12.8,879.9,5016.7,7.2,15.5,450.8,2071.4,4.8,8.6,267.5,1688.8,7.8,17.5,714.7,3747.9,-2.2,5,140.8,584.8,9.2,10.5,172.4,816.9,2.1,8.6,1137.5,4270.4,4.5,1,591.7,3321,6.6,11.1,440.7,1895.1,-9.9,-3.9,144.9,685,1.2,3.8,781.6,3228.1,6.6,4.1,1968.6,11422.2,-2.2,7.5,152.2,735.3,-6.8,-6.7,4525.9,22409.3,-1.1,6.8,418.9,2165.8,-4.2,-2.1
2023-05-01,2045,10855.8,0.9,4.9,1438.3,7530.7,-0.7,4.7,232,1145.8,-0.7,0.4,374.7,2179.3,8.6,8.3,1075.8,5619.1,17.6,14.1,775.6,4148.4,21.2,17.4,329.8,1618.8,11.7,9.7,265.6,1426.3,24.4,19.5,608.5,3031.9,9.4,6.8,95,444.4,14.3,11,140.7,643.7,10.9,10.5,641.8,3133.4,0.1,-0.2,544.9,2722,7.1,12,270,1452,-1.2,-2,115.4,537.5,5,4.5,508.1,2447.2,27.4,3.3,1900,9473.8,4.1,9.6,121.3,582.8,-14.6,-6.6,3927.9,17893,24.2,8.9,359.5,1753.4,-3.8,-1.6
2023-04-01,1970.1,9005,2.8,5.9,1394.7,6250.9,1,6,211.3,923.9,-3.4,0.6,364.1,1830.2,14.9,8.3,1051.4,4653.3,32.4,13.4,764.6,3434.1,39.9,16.6,276.2,1299.1,24.3,9.3,230.6,1180.8,44.7,18.5,548.4,2455.2,10.1,6.2,86.4,351.1,25.7,10.1,136.2,505,3.1,10.4,609,2536.4,4.7,-0.3,524.4,2236.3,3.7,13.3,259.6,1190.6,-4.9,-2.2,108.6,434.7,3.4,4.3,410.2,1941.8,14.6,-1.5,1925.8,7682.5,13.5,11,119.2,478.9,-11.2,-4.5,3620.2,14113.6,38,5.4,340.8,1418.9,-2.2,-1.1
2023-03-01,2267.8,7343.6,4.2,6.7,1607.7,5071.9,4.4,7.5,230.5,745,-5.1,1.8,429.6,1526.7,9,6.8,1164.3,3702.7,17.7,9,842,2731.9,24.5,11.4,393.4,1043.2,9.6,5.9,287.6,970.4,37.4,13.6,670.3,1980.3,7.7,5.1,95.5,269,15.8,5.8,195.4,373.5,14,13.4,723.2,1988.6,-1.4,-1.7,626.3,1764.6,11.7,16.5,352.2,948.1,-1.9,-1.4,133.6,363.7,3.5,4.6,514.4,1541,1.8,-5.1,2128.6,5965.3,9.2,10.3,152.1,393.4,-4.7,-2.4,4264.9,10828.3,11.5,-2.3,412.7,1150.8,-1.3,-0.8
2023-02-01,,5123.2,,8,,3492.6,,9,,521.5,,5.2,,1109.1,,6.1,,2548.9,,5.4,,1894.8,,6.4,,656.4,,3.8,,683.5,,5.9,,1312.4,,3.9,,172.8,,1,,178.3,,12.8,,1276.9,,-1.9,,1146,,19.3,,592.9,,-1.1,,234.7,,5.2,,1030,,-8.2,,3881.1,,10.9,,249.3,,-0.9,,6658.1,,-9.4,,739.1,,-0.4
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.4,8890.1,-13.1,-3.9,,,,,,,,,173.7,1634.6,-5.8,-7.5,,,,,,,,,,,,,,,,,,,,
2022-12-01,2679.5,26735,6.1,7,1893.6,18667.7,10.5,8.7,271.9,3021.6,5.5,5.3,514,5045.7,-7.3,2.3,1320.6,13003.4,-12.5,-6.5,938.1,9222.6,-14.2,-7.7,290.2,3935.6,-19.3,-4.5,245.5,3013.7,-18.4,-1.1,719.5,7511.2,-9.2,-0.7,90.8,1095.6,-13.3,-1.2,209,1647.6,11,6.4,937.9,8114.2,-17.3,-3,858.1,6708.3,39.8,12.4,432.5,4438.7,-0.3,4.4,169,1459.2,-4,-7.7,556.2,6283.6,-4.5,-3.4,1998.7,22998.4,-2.9,9.7,207.2,1910.7,-8.9,-6.2,5104.7,45771.9,4.6,0.7,508.5,4674.8,-5.9,-2
2022-11-01,2350.4,24062.7,1.6,7.2,1658.7,16788.3,3.9,8.5,251.9,2749.4,-6.2,5.3,439.8,4525,-2,3.5,1275.6,11687.5,-15.6,-5.8,900.4,8294.6,-17.1,-6.9,562.3,3651.6,-4.6,-3.1,256.3,2769.6,-7,0.8,729.8,6790,-9.1,0.3,115.5,1004.4,-8.2,0.1,176.9,1436.2,0.2,5.7,646.1,7168.5,-14.1,-0.8,604.7,5849.5,8.3,9.2,499.8,4005.3,-1.7,4.9,144,1289.7,-6.6,-8.2,697.3,5723,-17.6,-3.3,1929.2,21034.4,-1.6,11,188.1,1699.6,-10,-5.8,3787.6,40700.1,-4.2,0.3,437.6,4162.9,-7.1,-1.6
2022-10-01,2229.8,21694.5,6.1,7.8,1586.6,15111.1,8.3,9,240.4,2493.2,4.1,6.6,402.8,4090.2,-0.7,4.2,1154.8,10413.8,-7.5,-4.4,838.6,7391.2,-9.2,-5.5,308.9,3084.1,-3.7,-2.8,245.6,2508.4,-2.7,1.7,588.2,6054.3,-2.2,1.6,80.3,887.3,1.8,1.3,148.3,1259.3,5.1,6.5,710.1,6524.1,-6.1,0.7,537.7,5242.1,8.9,9.3,328.1,3485,-2.1,5.9,144.5,1144.5,-7.3,-8.4,595.1,5016.2,-8.9,-0.9,2048.6,19080.2,0.9,12.5,170,1506.3,-8.7,-5.3,3695.3,36873.3,3.9,0.8,392.1,3720.5,-1.6,-0.9
2022-09-01,2419.6,19470.7,4.3,8,1676.8,13524.9,8.5,9.1,277.7,2257.4,4.9,6.9,465.1,3688.4,-8.8,4.7,1071.7,9272.6,-0.5,-4,754.9,6562.1,-1,-5,317.4,2773.7,-3.1,-2.7,266,2261.3,1.9,2.2,632.4,5443,5.6,2,88.1,804.5,3.3,1.3,190,1110.5,7.5,6.7,724.2,5999.2,3.4,1.6,569,4702.4,9.3,9.4,442.5,3155.9,8.7,6.8,131.2,997.8,-8.1,-8.5,553.3,4399.5,5.8,0.2,2055,17098.7,10.2,14,168.2,1337.8,-8.1,-4.9,4212.9,33173.9,14.2,0.4,412.2,3337.8,-3.5,-0.8
2022-08-01,2086.2,16999.9,7.8,8.5,1436.6,11809.1,8.1,9.2,254.7,1972.9,5.8,7.2,394.9,3217.9,8,7,963.5,8206.4,5.1,-4.4,677.2,5814.1,6,-5.5,287.9,2452.7,-6.4,-2.7,267.8,1991.9,7.2,2.2,603.7,4831.1,3.6,1.5,94.6,715.5,3.8,1,82.6,921.8,3.2,6.6,808.1,5277.7,7.1,1.4,519.2,4113.3,9.1,9.4,383,2710.5,6.2,6.5,134.3,864.1,-6.3,-8.6,412.4,3841.9,-4.6,-0.5,2000.4,15057.8,17.1,14.5,155.1,1165.1,-9.1,-4.4,3974.7,28897.6,15.9,-1.3,364,2921.7,-5.2,-0.4
2022-07-01,1975.5,14920.7,6.1,8.7,1365.9,10374.5,6.2,9.4,243.7,1718.6,3,7.4,365.9,2827.6,7.7,6.9,964.3,7238.7,0.8,-5.6,677.2,5130.7,1.3,-6.9,253,2160.5,0.7,-2.1,246.7,1726.5,22.1,1.5,572.2,4224.4,0.7,1.3,87.3,619.1,10.1,0.6,86.3,834.7,2.2,6.9,1155.1,4466.2,3.2,0.4,503.5,3598.7,7.8,9.4,350.7,2330.5,11.5,6.6,154,729.6,-6.6,-9,424.9,3448.1,4.9,0,2030.2,13068.2,14.2,14.2,151.8,1025.5,-7.8,-3.6,3824.2,24970.3,9.7,-3.6,365.4,2595.2,-1.1,0.3
2022-06-01,2293.7,12980.6,7.3,9.1,1580,9031.8,9,9.9,287.4,1473.6,1.9,8.2,426.3,2475.2,5.1,6.7,1197.7,6281.7,1.2,-6.5,842.1,4462.6,2.5,-8,424.3,1904.9,8.1,-2.5,256.8,1478.6,8.1,-1.3,739.7,3658.1,4.3,1.3,127.7,526.2,9.7,-0.8,165.8,746.7,9.6,7.5,678.3,3314.3,-10.6,-0.5,576.3,3110.7,11.9,9.7,488.6,1979.4,8.9,5.7,121.7,574.6,-12.2,-9.6,724.2,3037.8,6.6,-0.6,2114.9,11128.7,14.7,14.2,179,879.9,-4.9,-2.9,4550.6,21180.6,13.9,-5.7,447.3,2262.5,0.6,0.5
2022-05-01,2056.6,10671.6,10.2,9.4,1463.5,7436.7,12.3,10,241.6,1183.7,7.7,9.8,351.5,2051.2,3.8,7.1,958.5,5093.4,-16.2,-8.1,663,3623.3,-20.1,-10.1,290.9,1472.7,-11,-5.2,220.5,1221.3,-15.5,-3.1,562,2911,-6.7,0.6,82.6,397.3,-0.9,-3.8,125.6,578.1,1.2,6.9,594,2657.9,-8.1,2.4,522.9,2522.6,10.8,9.2,275,1489.7,-3.3,4.7,110.8,450.2,-14,-8.9,393.6,2325.8,-7.7,-2.7,1918,9027,8.3,14.1,156.1,696.8,-7.8,-2.4,3185.5,16594.3,-16,-9.9,379.5,1817.7,0.5,0.5
2022-04-01,1888.9,8559.7,6.3,9.3,1356.6,5936,10,9.5,220.5,938,6,10.4,311.8,1685.7,-7,7.8,791.1,4083.5,-22.8,-6,541.7,2921.1,-25.6,-7.5,213.8,1168.1,-22.3,-3.6,158.4,986.7,-26.7,0.2,495.3,2329.6,-10.2,2.5,66,303.8,-12.7,-4.5,130.4,450.1,3.3,8.6,752.2,2067.1,-4.3,5.9,505,1990.3,7.9,8.8,271.5,1210.7,-4.8,6.7,125.5,338.5,-8.8,-7.1,347.4,1922.2,-21.8,-1.6,1740.1,7131.1,4.7,15.7,141.6,541,-11.7,-0.7,2567.2,13335.5,-31.6,-8.4,337.9,1402.6,-5.2,0.5
2022-03-01,2095.2,6681.8,11.5,10.1,1476.7,4577.3,12.5,9.3,235.6,716.4,12.6,11.8,382.9,1388.1,7.2,11.8,960.2,3284.7,-12.7,-0.9,658.7,2373.6,-15.1,-2.2,344.7,949.3,-6.3,1.8,204.5,827.7,-17.9,7.6,605,1833.1,-0.8,6.6,78.5,242.1,-8.8,-2,168.1,318.7,1.6,10.9,,1321.3,,12.7,551.8,1496,11.9,9.1,355.6,944.4,9.8,10.6,,216.3,,-6,486.3,1577.4,3.1,4.3,1937.5,5402.1,10.5,19.7,162.8,405.9,0.4,3.8,3673.1,10739.4,-7.5,-0.3,401.9,1083.7,0.8,2.3
2022-02-01,,4594.7,,9.5,,3102.6,,7.9,,480.9,,11.4,,1011.2,,13.6,,2381.8,,4.8,,1756.4,,3.7,,617.8,,7,,638.8,,19.5,,1235.6,,10.7,,166.9,,1.6,,153.4,,23.3,933.3,9340.2,-6,10,,942.5,,7.5,,589.1,,11.1,176.1,1666.8,-3.1,14.5,,1096.9,,4.8,,3474.4,,25.6,,245.4,,6.2,,7120.6,,3.9,,714.1,,3.3
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.8,8418,6.6,12.2,,,,,,,,,167.1,1494.5,6.1,16.9,,,,,,,,,,,,,,,,,,,,
2021-12-01,2445.6,,,,1663,16759.1,11.3,10.8,249,2807.9,12.6,20.4,533.6,4790.8,7,21.2,1487.2,13842.5,-2.3,12.7,1074.7,9974.6,-1.1,14.2,341.4,4026,2.5,14,289.4,3041.1,-0.2,29.8,766.6,7421.2,18.8,14.4,99.9,1059.7,18.7,22,183.5,1533.9,-8,7,734.6,7303.8,9.5,13.1,599.3,5826.2,9.4,9.9,417,4121.6,7.4,18.8,148.7,1338.4,2.4,18.4,561.6,6353.6,0.3,14.6,2036.1,20884,16.6,21.2,217.6,1967,7.5,20.4,4651.3,43786.6,-7.4,7.6,512.2,4485.6,-1.5,9
2021-11-01,2244.9,,,,1552.1,15098,14.8,10.7,261.2,2564.1,15.5,21.2,431.6,4261.6,13.3,23.3,1484.1,12363.3,-0.5,14.9,1064.2,8906.1,-1.2,16.4,570.6,3678.2,8.2,15.3,270.2,2756.4,5.7,34.1,782.2,6647.3,8.6,13.9,121.6,960.3,0.3,22.4,174.6,1351.3,-4.9,9.4,739.4,6579.6,6.6,13.5,545.1,5220.2,9.3,9.9,496.2,3707.2,18.1,20.2,150.8,1205,3.4,20.7,824.7,5793.5,0.3,16.3,1940.3,18843.4,25.9,21.7,200.4,1752.6,14.1,22.2,3777,39215.4,-9,9.7,446.9,3977.3,3.5,10.5
2021-10-01,2029.7,,,,1415.4,13497.9,9.9,10.3,224.8,2301.2,8.8,21.8,389.5,3817.1,14.3,24.5,1227.2,10861.3,-3.3,17.4,908.3,7823.8,-2.8,19.3,309.9,3096.7,7.2,16.7,247.5,2474.7,12.6,38.1,583.9,5837.7,3.5,14.6,75.7,835.8,8,26.4,140.1,1177,27.5,12,677.1,5830.4,-5,14.4,481.6,4678.6,5.6,10,323.9,3210.6,11.5,20.5,136.5,1052.7,6.7,23.7,631,4952.4,34.8,19.5,2004.5,16897.9,29.3,21.3,178.3,1546.4,12,23.3,3396.8,35382.8,-11.5,12.2,376.9,3534.7,-0.5,11.5
2021-09-01,2257.2,,,,1505.8,12086.7,9.2,10.3,261.5,2088.3,10.1,23.4,489.9,3430.3,16,25.8,1062.9,9641.4,-4.8,20.6,754.4,6918,-4.7,22.9,316.8,2783,3.9,17.9,262.5,2246.4,20.1,41.6,583.6,5261.1,0.5,16,82.1,760.6,13.4,28.6,175.1,1035.4,7.5,10.1,740.7,5165,8.2,17.6,508.1,4196.1,8.6,10.5,396.3,2877.2,22.6,21.7,137.5,916.9,11,26.7,507.7,4323.5,22.8,17.5,1840.3,14899.9,17.3,20.3,174.8,1379.4,13.3,24.9,3535.4,32065.7,-11.8,15.5,406,3175.2,4,13
2021-08-01,1868.1,,,,1287.2,10563.2,9.5,10.5,231.7,1818.9,11.8,25.6,349.2,2938.9,14.4,27.6,899.6,8564.7,-6,24.8,629.4,6154,-7.6,27.5,293.9,2461.9,0,20,250.2,1980.4,7.4,45,561.8,4672,-0.2,18.3,85.3,678.9,22.7,30.7,78.2,862.6,-16.6,10.7,1105.4,4424.4,8.9,19.3,464.4,3687.8,10.2,10.8,346.5,2479.2,20.4,21.5,160.8,780.7,13.4,30,410.2,3799.8,-14.9,16.8,1684,13066.2,13.1,20.7,161.5,1201.4,13.5,26.8,3280.1,28485.6,-7.4,20.1,359.9,2792,1.1,14.4
