year,QWS13_ROR,BHQ06_ROR,Maito_ROP,EPWT_ROP,WSC20_ROP,ZL17_ROP,PENN9_IRR,PENN9_ROP,NBS_GDP_ROP,NBS_NetProfitsFixed_ROP,NBS_NetProfitsNCASSETS_ROP,NBS_VA_Industry_ROP,NBS_NetProfits_TotalAssets_ROP,Wang_GDP_ROP,Shan_GDP_ROP,PENN9_NBS_ROSV,WSC20_ROSV,ZL17_ROSV,PENN9_OCC,VA_Industry_OCC,WSC20_OCC,ZL17_OCC,ROP_allmean,ROP_natmean,ROP_indmean,ROP_indprofmean
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,0.140190244,58.628,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,0.167092338,61.237,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,1.758,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,0.163578227,55.928,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.019,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,0.16394183,57.097,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,1.958,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,0.174877286,57.762,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,1.924,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,0.171083361,56.352,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,1.997,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,0.187560469,52.603,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.21,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,0.168634817,46.686,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.617,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,0.147077858,41.441,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.075,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,0.115443908,34.651,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.873,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,0.111749649,36.22,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.662,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,0.112456739,39.448,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.281,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,0.13075003,42.246,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.997,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,0.144867018,43.787,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.857,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,0.144307509,42.648,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,0.13330251,41.541,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.065,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,0.119778171,39.638,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.26,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,0.131451875,41.309,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.088,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,0.138539806,42.994,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.928,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,0.130336702,42.539,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,2.97,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,0.117105514,40.801,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.139,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,0.111866608,41.07,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.112,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,0.098960854,39.584,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.266,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,0.090233743,39.144,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.314,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,0.074131668,36.144,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.672,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,0.069555514,35.817,NA,NA,NA,NA,NA,NA,NA,1.689,NA,NA,3.715,NA,NA,NA,NA,NA,NA,NA
1978,NA,23.15,30.15,NA,NA,NA,0.069023579,37.131,37.131,NA,NA,30.556,11.294,19.89014256,20.33399659,1.749,NA,NA,3.709,4.722,NA,NA,NA,NA,NA,NA
1979,NA,22.04,29.3,NA,NA,NA,0.065305226,37.139,37.139,NA,NA,NA,NA,20.0388554,19.91703033,1.707,NA,NA,3.596,NA,NA,NA,NA,NA,NA,NA
1980,NA,25.4,32.3,NA,NA,NA,0.06726446,36.476,36.476,NA,NA,38.251,13.137,21.25735448,20.43088685,1.718,NA,NA,3.709,3.49,NA,NA,NA,NA,NA,NA
