Date,NFP_monthly_change
1939-02-01,177
1939-03-01,180
1939-04-01,-186
1939-05-01,205
1939-06-01,203
1939-07-01,-83
1939-08-01,244
1939-09-01,368
1939-10-01,380
1939-11-01,59
1939-12-01,72
1940-01-01,61
1940-02-01,112
1940-03-01,110
1940-04-01,-124
1940-05-01,178
1940-06-01,98
1940-07-01,-35
1940-08-01,410
1940-09-01,458
1940-10-01,457
1940-11-01,402
1940-12-01,505
1941-01-01,307
1941-02-01,362
1941-03-01,249
1941-04-01,376
1941-05-01,714
1941-06-01,468
1941-07-01,487
1941-08-01,407
1941-09-01,291
1941-10-01,114
1941-11-01,75
1941-12-01,80
1942-01-01,243
1942-02-01,165
1942-03-01,423
1942-04-01,417
1942-05-01,419
1942-06-01,258
1942-07-01,443
1942-08-01,516
1942-09-01,271
1942-10-01,256
1942-11-01,159
1942-12-01,241
1943-01-01,257
1943-02-01,221
1943-03-01,159
1943-04-01,95
1943-05-01,-51
1943-06-01,185
1943-07-01,-81
1943-08-01,-154
1943-09-01,-54
1943-10-01,183
1943-11-01,146
1943-12-01,-75
1944-01-01,-92
1944-02-01,-116
1944-03-01,-244
1944-04-01,-231
1944-05-01,-78
1944-06-01,-38
1944-07-01,-43
1944-08-01,-54
1944-09-01,-171
1944-10-01,29
1944-11-01,3
1944-12-01,149
1945-01-01,35
1945-02-01,2
1945-03-01,-99
1945-04-01,-352
1945-05-01,-142
1945-06-01,-155
1945-07-01,-275
1945-08-01,-408
1945-09-01,-1959
1945-10-01,93
1945-11-01,396
1945-12-01,114
1946-01-01,719
1946-02-01,-585
1946-03-01,951
1946-04-01,718
1946-05-01,436
1946-06-01,386
1946-07-01,418
1946-08-01,489
1946-09-01,273
1946-10-01,178
1946-11-01,302
1946-12-01,-16
1947-01-01,156
1947-02-01,22
1947-03-01,50
1947-04-01,-108
1947-05-01,139
1947-06-01,172
1947-07-01,-67
1947-08-01,217
1947-09-01,243
1947-10-01,208
1947-11-01,73
1947-12-01,97
1948-01-01,98
1948-02-01,-146
1948-03-01,150
1948-04-01,-304
1948-05-01,417
1948-06-01,238
1948-07-01,126
1948-08-01,18
1948-09-01,116
1948-10-01,-49
1948-11-01,-53
1948-12-01,-160
1949-01-01,-364
1949-02-01,-171
1949-03-01,-257
1949-04-01,-4
1949-05-01,-252
1949-06-01,-245
1949-07-01,-208
1949-08-01,93
1949-09-01,156
1949-10-01,-838
1949-11-01,300
1949-12-01,280
1950-01-01,4
1950-02-01,-229
1950-03-01,657
1950-04-01,428
1950-05-01,336
1950-06-01,365
1950-07-01,371
1950-08-01,738
1950-09-01,246
1950-10-01,268
1950-11-01,70
1950-12-01,85
1951-01-01,427
1951-02-01,289
1951-03-01,296
1951-04-01,-12
1951-05-01,91
1951-06-01,112
