Date,(450-475),(475-500),(500-525),(525-550),(550-575)
01/03/2023,0.089809,0.407047,0.396817,0.106327,0
01/04/2023,0.073687,0.430582,0.39799,0.097741,0
01/05/2023,0.050773,0.371872,0.437754,0.139602,0
01/06/2023,0.082672,0.469353,0.373615,0.074359,0
01/09/2023,0.105849,0.498394,0.338557,0.0572,0
01/10/2023,0.10314,0.489085,0.345177,0.062597,0
01/11/2023,0.09907,0.475926,0.357552,0.067452,0
01/12/2023,0.120862,0.552953,0.310555,0.01563,0
01/13/2023,0.100071,0.546312,0.333531,0.020085,0
01/17/2023,0.122316,0.557295,0.305078,0.015311,0
01/18/2023,0.179502,0.584505,0.225377,0.010616,0
01/19/2023,0.141736,0.556056,0.29302,0.009188,0
01/20/2023,0.124119,0.55566,0.319356,0,0
01/23/2023,0.067197,0.567205,0.360493,0.005106,0
01/24/2023,0.099946,0.54772,0.341216,0.011119,0
01/25/2023,0.113586,0.567999,0.316651,0,0
01/26/2023,0.086371,0.571445,0.340889,0.001295,0
01/27/2023,0.094561,0.569437,0.334599,0,0
01/30/2023,0.074435,0.510923,0.405066,0.009577,0
01/31/2023,0.099592,0.548475,0.350766,0.001167,0
02/01/2023,0.10811,0.558506,0.329421,0,0
02/02/2023,0.110347,0.589255,0.300398,0,0
02/03/2023,0.010021,0.395394,0.594584,0,0
02/06/2023,0,0.298804,0.678166,0.02303,0
02/07/2023,0,0.213528,0.715825,0.070647,0
02/08/2023,0,0.225983,0.704637,0.06938,0
02/09/2023,0,0.220286,0.709754,0.069959,0
02/10/2023,0,0.18387,0.742464,0.073666,0
02/13/2023,0,0.201799,0.72636,0.071841,0
02/14/2023,0,0.171805,0.753301,0.074894,0
02/15/2023,0,0.195018,0.710151,0.094831,0
02/16/2023,0,0.193892,0.68928,0.116828,0
02/17/2023,0,0.067238,0.766665,0.166098,0
02/21/2023,0,0,0.756633,0.242304,0.001063
02/22/2023,0,0.00131,0.759104,0.239586,0
02/23/2023,0,0,0.717305,0.277835,0.00486
02/24/2023,0,0,0.693346,0.292954,0.0137
02/27/2023,0,0,0.711828,0.27296,0.015212
02/28/2023,0,0,0.731705,0.25936,0.008935
03/01/2023,0,0,0.684302,0.308594,0.007104
03/02/2023,0,0,0.646835,0.335167,0.017998
03/03/2023,0,0,0.646037,0.326287,0.027676
03/06/2023,0,0,0.609886,0.355218,0.034896
03/07/2023,0,0,0.223706,0.594784,0.18151
03/08/2023,0,0,0.134141,0.572913,0.292947
03/09/2023,0,0,0.215755,0.565941,0.218304
03/10/2023,0,0,0.574008,0.410094,0.015897
03/13/2023,0.176446,0.501031,0.322524,0,0
03/14/2023,0.12453,0.463838,0.411632,0,0
03/15/2023,0.15329,0.485014,0.361696,0,0
03/16/2023,0.06625,0.396942,0.536808,0,0
03/17/2023,0.253045,0.539818,0.207137,0,0
03/20/2023,0.12262,0.48485,0.39253,0,0
03/21/2023,0.0434,0.358795,0.597805,0,0
03/22/2023,0.005487,0.500963,0.49355,0,0
03/23/2023,0,0.725662,0.274338,0,0
03/24/2023,0,0.831569,0.168431,0,0
03/27/2023,0,0.598031,0.401969,0,0
03/28/2023,0,0.527938,0.472062,0,0
03/29/2023,0,0.593846,0.406154,0,0
03/30/2023,0,0.528615,0.471385,0,0
03/31/2023,0,0.515938,0.484062,0,0
04/03/2023,0,0.428246,0.571754,0,0
04/04/2023,0,0.551662,0.448338,0,0
04/05/2023,0,0.567015,0.432985,0,0
04/06/2023,0,0.507938,0.492062,0,0
04/07/2023,0,0.288492,0.711508,0,0
04/10/2023,0,0.278246,0.721754,0,0
04/11/2023,0,0.2708,0.7292,0,0
04/12/2023,0,0.296031,0.703969,0,0
04/13/2023,0,0.329754,0.670246,0,0
04/14/2023,0,0.220308,0.779692,0,0
04/17/2023,0,0.147508,0.852492,0,0
04/18/2023,0,0.181108,0.818892,0,0
04/19/2023,0,0.167138,0.832862,0,0
04/20/2023,0,0.154831,0.845169,0,0
04/21/2023,0,0.108554,0.891446,0,0
04/24/2023,0,0.094831,0.905169,0,0
04/25/2023,0,0.241723,0.758277,0,0
04/26/2023,0,0.277754,0.722246,0,0
04/27/2023,0,0.160985,0.839015,0,0
04/28/2023,0,0.161108,0.838892,0,0
05/01/2023,0,0.068431,0.931569,0,0
05/02/2023,0,0.136985,0.863015,0,0
05/03/2023,0,0.080431,0.919569,0,0
