Date,Gold,DXY,US 10y yield,CN 10y yield,DE 10y yield,SPX,US 2y yield,CN 2y yield,DE 2y yield
2022-01-03,1800.85,96.21,1.637,NA,-0.124,4796.56,0.776,NA,-0.596
2022-01-04,1814.56,96.26,1.649,2.793,-0.128,4793.54,0.76,2.35,-0.615
2022-01-05,1809.53,96.17,1.7,2.809,-0.124,4700.58,0.83,2.358,-0.62
2022-01-06,1788.68,96.32,1.728,2.822,-0.068,4696.05,0.874,2.38,-0.603
2022-01-07,1795.63,95.72,1.765,2.823,-0.029,4677.02,0.87,2.373,-0.578
2022-01-10,1801.41,95.99,1.755,2.809,-0.036,4670.29,0.898,2.349,-0.591
2022-01-11,1822.01,95.62,1.746,2.799,-0.032,4713.07,0.888,2.332,-0.581
2022-01-12,1825.32,94.92,1.752,2.8,-0.057,4726.35,0.923,2.328,-0.596
2022-01-13,1822.09,94.79,1.701,2.794,-0.086,4659.02,0.895,2.337,-0.603
2022-01-14,1817.22,95.17,1.793,2.795,-0.049,4662.85,0.969,2.341,-0.587
2022-01-17,1818.99,95.26,1.809,2.791,-0.026,NA,1.003,2.308,-0.571
2022-01-18,1813.54,95.73,1.875,2.756,-0.018,4577.34,1.046,2.252,-0.574
2022-01-19,1839.96,95.51,1.854,2.732,-0.009,4532.76,1.051,2.187,-0.577
2022-01-20,1838.36,95.74,1.811,2.726,-0.027,4482.73,1.027,2.181,-0.585
2022-01-21,1833.24,95.64,1.77,2.713,-0.06,4397.93,1.016,2.134,-0.62
2022-01-24,1843.06,95.92,1.776,2.686,-0.098,4410.13,0.971,2.09,-0.651
2022-01-25,1847.56,95.95,1.776,2.672,-0.081,4356.45,1.027,2.135,-0.654
2022-01-26,1818.12,96.39,1.873,2.715,-0.071,4349.93,1.156,2.153,-0.646
2022-01-27,1796.51,97.25,1.803,2.735,-0.057,4326.5,1.188,2.151,-0.621
2022-01-28,1791.03,97.27,1.778,2.717,-0.047,4431.85,1.172,2.141,-0.61
2022-01-31,1796.47,96.54,1.784,NA,0.014,4515.55,1.185,NA,-0.534
2022-02-01,1800.65,96.39,1.795,NA,0.037,4546.54,1.169,NA,-0.527
2022-02-02,1806.50,95.94,1.771,NA,0.035,4589.32,1.15,NA,-0.462
2022-02-03,1804.40,95.38,1.836,NA,0.155,4477.44,1.202,NA,-0.322
2022-02-04,1807.49,95.49,1.916,NA,0.208,4500.54,1.316,NA,-0.254
2022-02-07,1820.31,95.4,1.919,2.722,0.224,4483.87,1.294,2.124,-0.303
2022-02-08,1825.48,95.64,1.965,2.722,0.264,4521.54,1.345,2.127,-0.3
2022-02-09,1832.43,95.49,1.945,2.734,0.22,4587.18,1.366,2.145,-0.341
2022-02-10,1826.57,95.55,2.043,2.744,0.292,4504.06,1.609,2.146,-0.325
2022-02-11,1859.96,96.08,1.918,2.794,0.292,4418.64,1.487,2.202,-0.327
2022-02-14,1870.29,96.37,1.986,2.798,0.273,4401.67,1.57,2.212,-0.369
2022-02-15,1853.06,95.99,2.043,2.8,0.311,4471.07,1.577,2.209,-0.346
