First Name,Surname,Constituency
AHERN,Ciarán,Dublin South-West
AIRD,William,Laois
ARDAGH,Catherine,Dublin South-Central
BACIK,Ivana,Dublin Bay South
BENNETT,Cathy,Cavan-Monaghan
BOLAND,Grace,Dublin Fingal West
BOYD BARRETT,Richard,Dún Laoghaire
BRABAZON,Tom,Dublin Bay North
BRADY,John,Wicklow
BRENNAN,Brian,Wicklow-Wexford
BRENNAN,Shay,Dublin Rathdown
BROPHY,Colm,Dublin South-West
BROWNE,James,Wexford
BUCKLEY,Pat,Cork East
BURKE,Colm,Cork North-Central
BURKE,Peter,Longford-Westmeath
BUTLER,Mary,Waterford
BUTTERLY,Paula,Louth
BUTTIMER,Jerry,Cork South-Central
BYRNE,Joanna,Louth
BYRNE,Malcolm,Wicklow–Wexford
BYRNE,Thomas,Meath-East
CAHILL,Michael,Kerry
CAIRNS,Holly,Cork South-West
CALLAGHAN,Catherine,Carlow-Kilkenny
CALLEARY,Dara,Mayo
CANNEY,Seán,Galway East
CARRIGY,Micheál,Longford-Westmeath
CARROLL MACNEILL,Jennifer,Dún Laoghaire
CARTHY,Matt,Cavan-Monaghan
CHAMBERS,Jack,Dublin West
CLARKE,Sorcha,Longford-Westmeath
CLEERE,Peter 'Chap',Carlow-Kilkenny
CLENDENNEN,John,Offaly
COLLINS,Michael,Cork South-West
COLLINS,Niall,Limerick County
CONNOLLY,Catherine,Galway West
CONNOLLY,John,Galway West
CONWAY-WALSH,Rose,Mayo
COONEY,Joe,Clare
COPPINGER,Ruth,Dublin West
CRONIN,Réada,Kildare North
CROWE,Cathal,Clare
CROWE,Seán,Dublin South-West
CULLINANE,David,Waterford
CUMMINS,Dr. Jen,Dublin South-Central
CUMMINS,John,Waterford
CURRIE,Emer,Dublin West
DALY,Dr. Martin,Roscommon-Galway
DALY,Pa,Kerry
DEMPSEY,Aisling,Meath-West
DEVINE,Máire,Dublin South-Central
DEVLIN,Cormac,Dún Laoghaire
DILLON,Alan,Mayo
DOHERTY,Pearse,Donegal
DOLAN,Albert,Galway East
DONNELLY,Paul,Dublin West
DONOHOE,Paschal,Dublin Central
DOOLEY,Timmy,Clare
ELLIS,Dessie,Dublin North-West
FARRELL,Mairéad,Galway West
FARRELLY,Aidan,Kildare North
FEIGHAN,Frank,Sligo-Leitrim
FITZMAURICE,Michael,Roscommon-Galway
FLEMING,Seán,Laois
FOLEY,Norma,Kerry
GALLAGHER,Pat The Cope,Donegal
GANNON,Gary,Dublin Central
GEOGHEGAN,James,Dublin Bay South
GIBNEY,Sinéad,Dublin-Rathdown
GOGARTY,Paul Nicholas,Dublin Mid-West
GOULD,Thomas,Cork North-Central
GRAVES,Ann,Dublin Fingal East
GREALISH,Noel,Galway West
GUIRKE,Johnny,Meath-West
HARKIN,Marian,Sligo-Leitrim
HARRIS,Simon,Wicklow
HAYES,Eoin,Dublin Bay South
HEALY,Seamus,Tipperary South
HEALY-RAE,Danny,Kerry
HEALY-RAE,Michael,Kerry
HEARNE,Rory,Dublin North-West
HENEGHAN,Barry,Dublin Bay North
HEYDON,Martin,Kildare South
HIGGINS,Emer,Dublin Mid-West
KELLY,Alan,Tipperary North
KENNY,Eoghan,Cork North-Central
KENNY,Martin,Sligo-Leitrim
KEOGH,Keira,Mayo
KERRANE,Claire,Roscommon-Galway
LAHART,John,Dublin South-West
LAWLESS,James,Kildare North
LAWLESS,Paul,Mayo
LAWLOR,George,Wexford
LOWRY,Michael,Tipperary North
MACLOCHLAINN,Pádraig,Donegal
MARTIN,Micheál,Cork South-Central
MAXWELL,David,Cavan-Monaghan
MCAULIFFE,Paul,Dublin North West
MCCARTHY,Noel,Cork East
MCCONALOGUE,Charlie,Donegal
MCCORMACK,Tony,Offaly
MCDONALD,Mary Lou,Dublin Central
MCENTEE,Helen,Meath-East
MCGETTIGAN,Donna,Clare
MCGRATH,Mattie,Tipperary South
MCGRATH,Séamus,Cork South-Central
MCGREEHAN,Erin,Louth
MCGUINNESS,Conor D,Waterford
MCGUINNESS,John,Carlow-Kilkenny
MITCHELL,Denise,Dublin Bay North
MORAN,Kevin Boxer,Longford-Westmeath
MOYNIHAN,Aindrias,Cork North-West
MOYNIHAN,Michael,Cork North-West
MOYNIHAN,Shane,Dublin Mid-West
MURNANE-O'CONNOR,Jennifer,Carlow-Kilkenny
MURPHY,Michael,Tipperary South
MURPHY,Paul,Dublin South-West
MURPHY,Verona,Wexford
MYTHEN,Johnny,Wexford
NASH,Ged,Louth
NAUGHTON,Hildegarde,Galway West
NEVILLE,Joseph,Kildare North
NEWSOME DRENNAN,Natasha,Carlow-Kilkenny
NÍ RAGHALLAIGH,Shónagh,Cill Dara Theas
NOLAN,Carol,Offaly
O'BRIEN,Darragh,Dublin Fingal East
Ó BROIN,Eoin,Dublin Mid-West
O'CALLAGHAN,Cian,Dublin Bay North
O'CALLAGHAN,Jim,Dublin Bay South
Ó CEARÚIL,Naoise,Kildare North
O'CONNELL,Maeve,Dublin-Rathdown
O'CONNOR,James,Cork East
O'DEA,Willie,Limerick City
O'DONNELL,Kieran,Limerick City
O'DONOGHUE,Richard,Limerick County
O'DONOGHUE,Robert,Dublin Fingal West
O'DONOVAN,Patrick,Limerick County
Ó FEARGHAÍL,Seán,Kildare South
O'FLYNN,Ken,Cork North-Central
O'GORMAN,Roderic,Dublin West
O'HARA,Louis,Galway East
Ó LAOGHAIRE,Donnchadh,Cork South-Central
O'MEARA,Ryan,Tipperary North
Ó MUIRÍ,Naoise,Dublin Bay North
Ó MURCHÚ,Ruairí,Louth
O'REILLY,Louise,Dublin Fingal West
O'ROURKE,Darren,Meath-East
O'SHEA,John Paul,Cork North-West
Ó SNODAIGH,Aengus,Baile Átha Cliath Lár-Theas
Ó SÚILLEABHÁIN,Fionntán,Wicklow-Wexford
O'SULLIVAN,Christopher,Cork South-West
O'SULLIVAN,Pádraig,Cork North-Central
QUAIDE,Liam,Cork East
QUINLIVAN,Maurice,Limerick City
RICE,Pádraig,Cork South-Central
RICHMOND,Neale,Dublin-Rathdown
ROCHE,Peter,Galway East
SCANLON,Eamon,Sligo-Leitrim
SHEEHAN,Conor,Limerick City
SHERLOCK,Marie,Dublin Central
SMITH,Brendan,Cavan-Monaghan
SMITH,Duncan,Dublin Fingal East
SMYTH,Niamh,Cavan-Monaghan
STANLEY,Brian,Laois
TIMMINS,Edward,Wicklow
TOIBÍN,Peadar,An Mhí Thiar
TOOLE,Gillian,Meath-East
TROY,Robert,Longford-Westmeath
WALL,Mark,Kildare South
WARD,Barry,Dún Laoghaire
WARD,Charles,Donegal
WARD,Mark,Dublin Mid-West
WHITMORE,Jennifer,Wicklow
