First Name,Surname,Panel
AHEARN, Garret,Administrative Panel
BLACK, Frances,Industrial and Commercial Panel
BLANEY, Niall,Agricultural Panel
BOYHAN, Victor,Agricultural Panel
BRADLEY, Nikki,Taoiseach's nominees
BURKE, Paddy,Agricultural Panel
BYRNE, Maria,Agricultural Panel
CASEY, Pat,Labour Panel
CASSELLS, Shane,Labour Panel
CHAMBERS, Lisa,Cultural and Educational Panel
CLIFFORD-LEE, Lorraine,Taoiseach's nominees
CLONAN, Tom,Dublin University
CONWAY, Martin,Administrative Panel
CRAUGHWELL, Gerard,Labour Panel
CROWE, Ollie,Industrial and Commercial Panel
DALY, Mark,Administrative Panel
DALY, Paul,Agricultural Panel
DAVITT, Aidan
DOLAN, Aisling
FARRELL, Alan
FITZPATRICK, Mary
FLAHERTY, Joe
FLYNN, Eileen
GALLAGHER, Robbie
GARVEY, Róisín
GAVAN, Paul
HACKETT, Pippa
HIGGINS, Alice-Mary
HOEY, Annie
HORKAN, Gerry
KEOGAN, Sharon
KYNE, Sean
LOMBARD, Tim
MARTIN, Vincent P.
MCDOWELL, Michael
MCGAHON, John
MOYNIHAN, Rebecca
MULLEN, Rónán
MURPHY, Eugene
O’DONOVAN, Denis
O’HARA, Malachai
O’LOUGHLIN, Fiona
O’REILLY, Joe
O’REILLY, Pauline
O’SULLIVAN, Ned
RABBITTE, Anne
RUANE, Lynn
SEERY KEARNEY, Mary
WARFIELD, Fintan
WILSON, Diarmuid
